tconst	averageRating	numVotes
tt0000001	5.7	2007
tt0000002	5.8	270
tt0000003	6.5	1920
tt0000004	5.5	178
tt0000005	6.2	2695
tt0000006	5.0	183
tt0000007	5.4	843
tt0000008	5.4	2155
tt0000009	5.3	208
tt0000010	6.9	7360
tt0000011	5.2	377
tt0000012	7.4	12556
tt0000013	5.7	1921
tt0000014	7.1	5675
tt0000015	6.1	1133
tt0000016	5.9	1545
tt0000017	4.6	333
tt0000018	5.3	610
tt0000019	5.1	31
tt0000020	4.8	367
tt0000022	5.1	1116
tt0000023	5.7	1465
tt0000024	4.2	120
tt0000025	3.8	44
tt0000026	5.6	1571
tt0000027	5.6	1179
tt0000028	5.1	1109
tt0000029	5.9	3443
tt0000030	5.2	868
tt0000031	5.5	1027
tt0000032	5.0	427
tt0000033	5.5	1052
tt0000034	4.9	225
tt0000035	5.7	82
tt0000036	4.4	611
tt0000037	4.4	72
tt0000038	4.2	208
tt0000039	3.5	33
tt0000040	4.0	71
tt0000041	6.7	1935
tt0000042	4.1	38
tt0000043	3.4	33
tt0000044	3.8	49
tt0000045	4.0	34
tt0000046	4.1	36
tt0000047	3.4	35
tt0000048	4.7	206
tt0000049	5.0	49
tt0000050	4.1	35
tt0000051	3.6	36
tt0000052	4.2	110
tt0000053	3.3	19
tt0000054	4.9	35
tt0000055	3.6	31
tt0000056	3.0	23
tt0000057	4.5	35
tt0000058	4.2	34
tt0000059	3.3	28
tt0000060	7.4	89
tt0000061	4.3	28
tt0000062	6.3	203
tt0000063	3.3	29
tt0000064	3.0	30
tt0000065	3.2	30
tt0000066	3.2	30
tt0000067	5.5	72
tt0000068	3.8	32
tt0000069	4.9	489
tt0000070	6.4	2713
tt0000071	3.3	30
tt0000072	3.5	28
tt0000073	3.5	31
tt0000074	4.6	32
tt0000075	6.3	1991
tt0000076	4.5	542
tt0000077	4.5	36
tt0000078	3.7	91
tt0000079	4.3	36
tt0000080	4.0	32
tt0000081	4.1	33
tt0000082	4.8	50
tt0000083	4.6	33
tt0000084	4.3	31
tt0000085	4.7	34
tt0000086	4.1	34
tt0000087	4.7	38
tt0000088	4.2	33
tt0000089	6.2	1021
tt0000090	3.9	32
tt0000091	6.7	3837
tt0000092	4.5	30
tt0000093	4.7	94
tt0000094	4.5	38
tt0000095	4.8	35
tt0000096	4.1	31
tt0000097	4.9	34
tt0000098	5.2	37
tt0000099	4.6	33
tt0000100	4.8	57
tt0000101	4.5	29
tt0000102	4.7	27
tt0000103	5.4	28
tt0000104	5.6	478
tt0000105	5.0	30
tt0000106	4.4	24
tt0000107	5.2	29
tt0000108	4.4	552
tt0000109	4.5	532
tt0000110	4.4	538
tt0000111	4.4	553
tt0000112	4.5	531
tt0000113	4.3	559
tt0000114	5.1	31
tt0000115	4.9	35
tt0000116	5.2	28
tt0000117	5.1	172
tt0000118	5.0	36
tt0000119	5.1	62
tt0000120	5.1	56
tt0000121	4.2	101
tt0000122	5.1	32
tt0000123	5.6	164
tt0000124	5.2	31
tt0000125	4.6	16
tt0000126	5.8	32
tt0000127	4.4	27
tt0000128	5.5	40
tt0000129	6.6	52
tt0000130	5.1	29
tt0000131	5.7	1467
tt0000132	5.1	1099
tt0000133	6.2	36
tt0000134	4.8	21
tt0000135	6.4	85
tt0000137	4.9	34
tt0000138	6.4	1180
tt0000139	5.2	26
tt0000140	4.9	316
tt0000141	5.2	115
tt0000142	4.6	30
tt0000143	5.0	275
tt0000144	5.1	334
tt0000145	3.5	14
tt0000146	5.0	27
tt0000147	5.3	485
tt0000148	3.3	15
tt0000149	4.6	22
tt0000150	5.4	180
tt0000151	4.8	65
tt0000152	6.2	274
tt0000153	5.7	489
tt0000154	3.9	14
tt0000155	5.1	29
tt0000156	3.9	24
tt0000157	3.9	16
tt0000158	3.1	16
tt0000159	5.1	140
tt0000160	5.3	27
tt0000161	3.6	15
tt0000162	5.4	488
tt0000163	5.0	14
tt0000164	5.0	310
tt0000165	4.6	134
tt0000166	3.6	19
tt0000167	4.0	152
tt0000168	3.1	17
tt0000169	3.7	51
tt0000170	5.2	270
tt0000171	4.2	16
tt0000172	6.1	1006
tt0000173	4.6	45
tt0000174	4.6	134
tt0000175	5.0	230
tt0000176	4.7	14
tt0000177	4.6	249
tt0000178	5.2	216
tt0000179	4.6	44
tt0000181	6.8	60
tt0000182	4.9	566
tt0000183	5.9	36
tt0000184	4.8	333
tt0000186	4.5	23
tt0000187	4.8	58
tt0000188	3.6	12
tt0000190	4.8	149
tt0000192	4.5	191
tt0000194	5.4	84
tt0000196	4.7	30
tt0000197	4.2	20
tt0000198	4.3	20
tt0000199	4.0	14
tt0000204	5.6	14
tt0000205	4.8	32
tt0000206	5.1	14
tt0000207	5.4	13
tt0000208	5.7	580
tt0000209	4.9	30
